0, 11, 6
1, 12, 7
2, 13, 8
3, 14, 9
4, 15, 10
5, 16, 11
6, 17, 12
7, 18, 13
8, 19, 14
9, 0, 15
10, 1, 16
11, 2, 17
12, 3, 18
13, 4, 19
14, 5, 0
15, 6, 1
16, 7, 2
17, 8, 3
18, 9, 4
19, 10, 5
20, 11, 6
21, 12, 7
22, 13, 8
23, 14, 9
24, 15, 10
25, 16, 11
26, 17, 12
27, 18, 13
28, 19, 14
29, 0, 15
30, 1, 16
31, 2, 17
32, 3, 18
33, 4, 19
34, 5, 0
35, 6, 1
36, 7, 2
37, 8, 3
38, 9, 4
39, 10, 5
40, 11, 6
41, 12, 7
42, 13, 8
43, 14, 9
44, 15, 10
45, 16, 11
46, 17, 12
47, 18, 13
48, 19, 14
49, 0, 15
50, 1, 16
51, 2, 17
52, 3, 18
53, 4, 19
54, 5, 0
55, 6, 1
56, 7, 2
57, 8, 3
58, 9, 4
59, 10, 5
60, 11, 6
61, 12, 7
62, 13, 8
63, 14, 9
64, 15, 10
65, 16, 11
66, 17, 12
67, 18, 13
68, 19, 14
69, 0, 15
70, 1, 16
71, 2, 17
72, 3, 18
73, 4, 19
74, 5, 0
75, 6, 1
76, 7, 2
77, 8, 3
78, 9, 4
79, 10, 5
80, 11, 6
81, 12, 7
82, 13, 8
83, 14, 9
84, 15, 10
85, 16, 11
86, 17, 12
87, 18, 13
88, 19, 14
89, 0, 15
90, 1, 16
91, 2, 17
92, 3, 18
93, 4, 19
94, 5, 0
95, 6, 1
96, 7, 2
97, 8, 3
98, 9, 4
99, 10, 5
